date,home_team,away_team,rank_home,rank_away,home_score,away_score,result,rank_dif,rank_change_home,rank_change_away,home_goals_mean,home_goals_mean_l5,home_goals_suf_mean,home_goals_suf_mean_l5,home_rank_mean,home_rank_mean_l5,home_points_mean,home_points_mean_l5,away_goals_mean,away_goals_mean_l5,away_goals_suf_mean,away_goals_suf_mean_l5,away_rank_mean,away_rank_mean_l5,away_points_mean,away_points_mean_l5,home_game_points_mean,home_game_points_mean_l5,home_game_points_rank_mean,home_game_points_rank_mean_l5,away_game_points_mean,away_game_points_mean_l5,away_game_points_rank_mean,away_game_points_rank_mean_l5,is_friendly_0,is_friendly_1
2021-07-02,Peru,Paraguay,27.0,35.0,3,3,2,-8.0,0.0,0.0,1.1,1.4,2.1,1.6,23.7,30.8,-32.11999999999989,0.0,1.1,1.0,1.0,1.0,26.3,24.0,15.019999999999982,0.0,1.1,2.0,0.04004716981132076,0.07509433962264152,1.3,1.2,0.06091556582929001,0.03898635477582846,True,False
2021-07-02,Brazil,Chile,3.0,19.0,1,0,0,-16.0,0.0,0.0,2.6,2.4,0.4,0.4,34.5,32.0,30.65000000000009,0.0,1.1818181818181819,0.8,1.1818181818181819,1.0,33.54545454545455,42.8,-9.480000000000018,0.0,2.8,2.6,0.12843750170165263,0.10313866427073974,1.2727272727272727,1.2,0.06122441006407251,0.05709876543209876,True,False
2021-07-03,Uruguay,Colombia,9.0,15.0,0,0,2,-6.0,0.0,0.0,1.1,0.8,0.9,0.4,30.2,34.6,-5.920000000000073,0.0,1.4,1.0,1.7,1.2,25.7,24.2,-21.339999999999918,0.0,1.5,1.6,0.07137582518387472,0.0417432470064049,1.2,1.0,0.050487174744111483,0.0429874213836478,True,False
2021-07-03,Argentina,Ecuador,8.0,53.0,3,0,0,-45.0,0.0,0.0,1.6,1.8,0.7,0.8,37.6,31.8,18.950000000000045,0.0,1.9090909090909092,1.2,1.5454545454545454,1.6,26.181818181818183,20.4,45.00999999999999,0.0,2.2,2.2,0.08684609092174882,0.11507658033973822,1.3636363636363635,0.6,0.11633209734475557,0.08074074074074074,True,False
2021-07-05,Brazil,Peru,3.0,27.0,1,0,0,-24.0,0.0,0.0,2.4545454545454546,2.2,0.36363636363636365,0.4,33.09090909090909,28.8,30.65000000000009,0.0,1.2727272727272727,1.6,2.1818181818181817,2.0,24.727272727272727,27.2,-32.11999999999989,0.0,2.8181818181818183,2.6,0.13111543216896654,0.11757475449630365,1.0909090909090908,1.6,0.0390039206076942,0.0694878706199461,True,False
2021-07-06,Argentina,Colombia,8.0,15.0,1,1,2,-7.0,0.0,0.0,1.7272727272727273,2.0,0.6363636363636364,0.4,39.0,39.4,18.950000000000045,0.0,1.2727272727272727,0.6,1.5454545454545454,0.8,24.181818181818183,24.4,-21.339999999999918,0.0,2.272727272727273,2.6,0.08409678934567216,0.11306400172338602,1.1818181818181819,1.0,0.05599844168656599,0.04020964360587002,True,False
2021-07-09,Peru,Colombia,27.0,15.0,2,3,1,12.0,0.0,0.0,1.1666666666666667,1.6,2.0833333333333335,1.4,22.916666666666668,27.2,-32.11999999999989,0.0,1.25,0.6,1.5,1.0,22.833333333333332,15.4,-21.339999999999918,0.0,1.0,1.6,0.03575359389038635,0.0694878706199461,1.1666666666666667,0.6,0.06174857154601882,0.05388888888888889,True,False
2021-07-10,Brazil,Argentina,3.0,8.0,0,1,1,-5.0,0.0,0.0,2.3333333333333335,1.8,0.3333333333333333,0.4,32.583333333333336,28.2,30.65000000000009,0.0,1.6666666666666667,2.0,0.6666666666666666,0.4,37.0,38.6,18.950000000000045,0.0,2.8333333333333335,2.6,0.12944840541414526,0.11979697671852588,2.1666666666666665,2.6,0.08264427912242171,0.11587101926724568,True,False
2021-07-29,Mexico,Canada,11.0,70.0,2,1,0,-59.0,0.0,0.0,1.3333333333333333,1.3333333333333333,0.0,0.0,59.333333333333336,59.333333333333336,-2.4400000000000546,-2.4400000000000546,2.0,2.0,0.0,0.0,50.0,50.0,0.0,0.0,2.3333333333333335,2.3333333333333335,0.03948717948717949,0.03948717948717949,3.0,3.0,0.06,0.06,True,False
2021-09-02,Bolivia,Colombia,82.0,15.0,1,1,2,67.0,1.0,0.0,1.0833333333333333,0.6,2.3333333333333335,2.2,25.083333333333332,18.0,-23.8900000000001,0.0,1.3846153846153846,1.2,1.5384615384615385,1.4,23.153846153846153,14.8,-21.339999999999918,0.0,0.4166666666666667,0.2,0.015100250626566418,0.010526315789473684,1.3076923076923077,1.0,0.06554568997410284,0.06944444444444445,True,False
